Phrase	DisplayAs	SoundsLike	IPA
tro-ca	troca		
ru-fe-ro	rufero		
chi-rok	sheetrock		
yar-da	yarda		
kar-pe-ta	carpeta		
mar-ke-ta	marketa		
dom-pe	dompe		
wa-char	wachar		
par-ke-ar	parquear		
plo-me-ro	plomero		
ta-i-pe-ar	taipear		
a-se-gu-ran-sa	aseguransa		
gu-ey	güey		
for-clif	forklift		
bil	bil		
ra-i-te	raite		
cha-lan	chalán		
ma-is-tro	maistro		
al-ba-ñil	albañil		
sol-da-dor	soldador		
ta-bla-ro-ca	tablaroca		
la-va-ri-lla	varilla		
la-tra-be	trabe		
el-pla-fon	plafón		
el-so-clo	zoclo		
el-ta-la-dro	taladro		
la-pu-li-do-ra	pulidora		
la-cu-cha-ra	cuchara		
la-lla-na	llana		
la-plo-ma-da	plomada		
el-ni-vel	nivel		
el-an-da-mio	andamio		
se-gu-ro	seguro		
es-cai-trak	Skytrak		
man-lif	manlift		
do-cer	dozer		
